Files already downloaded and verified
Params 0.01% alive (2114/21289802) parameters
Epoch 1/250 lr: 1.0000e-02 	| train_acc: 12.11%  	train_loss: 2.2840  	val_acc: 14.69%  	val_loss: 2.2695
Epoch 2/250 lr: 1.0000e-02 	| train_acc: 13.12%  	train_loss: 2.2765  	val_acc: 10.92%  	val_loss: 2.2639
Params 0.10% alive (21099/21289802) parameters
Epoch 3/250 lr: 1.0000e-02 	| train_acc: 17.86%  	train_loss: 2.2076  	val_acc: 23.73%  	val_loss: 2.1138
Epoch 4/250 lr: 9.3303e-03 	| train_acc: 23.08%  	train_loss: 2.1112  	val_acc: 26.17%  	val_loss: 2.0566
Params 0.50% alive (105497/21289802) parameters
Epoch 5/250 lr: 9.3303e-03 	| train_acc: 31.31%  	train_loss: 1.8633  	val_acc: 41.80%  	val_loss: 1.6113
Epoch 6/250 lr: 9.3303e-03 	| train_acc: 43.17%  	train_loss: 1.5556  	val_acc: 47.96%  	val_loss: 1.4207
Epoch 7/250 lr: 8.7055e-03 	| train_acc: 47.38%  	train_loss: 1.4497  	val_acc: 52.35%  	val_loss: 1.3218
Params 0.99% alive (211009/21289802) parameters
Epoch 8/250 lr: 8.7055e-03 	| train_acc: 46.64%  	train_loss: 1.4691  	val_acc: 51.60%  	val_loss: 1.3599
Epoch 9/250 lr: 8.7055e-03 	| train_acc: 51.54%  	train_loss: 1.3371  	val_acc: 54.85%  	val_loss: 1.2751
Epoch 10/250 lr: 8.1225e-03 	| train_acc: 54.24%  	train_loss: 1.2754  	val_acc: 56.41%  	val_loss: 1.2127
Params 1.98% alive (422007/21289802) parameters
Epoch 11/250 lr: 8.1225e-03 	| train_acc: 52.53%  	train_loss: 1.3174  	val_acc: 57.40%  	val_loss: 1.1918
Epoch 12/250 lr: 8.1225e-03 	| train_acc: 56.93%  	train_loss: 1.2070  	val_acc: 60.73%  	val_loss: 1.1047
Epoch 13/250 lr: 7.5786e-03 	| train_acc: 59.17%  	train_loss: 1.1453  	val_acc: 61.82%  	val_loss: 1.0805
Epoch 14/250 lr: 7.5786e-03 	| train_acc: 60.49%  	train_loss: 1.0967  	val_acc: 63.79%  	val_loss: 1.0283
Epoch 15/250 lr: 7.5786e-03 	| train_acc: 62.21%  	train_loss: 1.0635  	val_acc: 63.83%  	val_loss: 1.0268
Epoch 16/250 lr: 7.0711e-03 	| train_acc: 63.42%  	train_loss: 1.0305  	val_acc: 64.40%  	val_loss: 0.9980
Epoch 17/250 lr: 7.0711e-03 	| train_acc: 64.25%  	train_loss: 1.0094  	val_acc: 64.39%  	val_loss: 0.9946
Epoch 18/250 lr: 7.0711e-03 	| train_acc: 64.62%  	train_loss: 0.9906  	val_acc: 67.02%  	val_loss: 0.9270
Epoch 19/250 lr: 6.5975e-03 	| train_acc: 65.70%  	train_loss: 0.9639  	val_acc: 66.97%  	val_loss: 0.9289
Epoch 20/250 lr: 6.5975e-03 	| train_acc: 66.51%  	train_loss: 0.9421  	val_acc: 68.69%  	val_loss: 0.8900
Params 3.96% alive (844031/21289802) parameters
Epoch 21/250 lr: 6.5975e-03 	| train_acc: 63.12%  	train_loss: 1.0318  	val_acc: 65.63%  	val_loss: 0.9815
Epoch 22/250 lr: 6.1557e-03 	| train_acc: 66.51%  	train_loss: 0.9453  	val_acc: 66.80%  	val_loss: 0.9222
Epoch 23/250 lr: 6.1557e-03 	| train_acc: 67.95%  	train_loss: 0.9029  	val_acc: 69.54%  	val_loss: 0.8577
Epoch 24/250 lr: 6.1557e-03 	| train_acc: 69.15%  	train_loss: 0.8723  	val_acc: 70.16%  	val_loss: 0.8512
Epoch 25/250 lr: 5.7435e-03 	| train_acc: 70.07%  	train_loss: 0.8467  	val_acc: 71.18%  	val_loss: 0.8169
Epoch 26/250 lr: 5.7435e-03 	| train_acc: 71.01%  	train_loss: 0.8223  	val_acc: 72.04%  	val_loss: 0.7971
Epoch 27/250 lr: 5.7435e-03 	| train_acc: 71.58%  	train_loss: 0.8026  	val_acc: 73.09%  	val_loss: 0.7685
Epoch 28/250 lr: 5.3589e-03 	| train_acc: 72.34%  	train_loss: 0.7778  	val_acc: 73.27%  	val_loss: 0.7601
Epoch 29/250 lr: 5.3589e-03 	| train_acc: 72.77%  	train_loss: 0.7695  	val_acc: 73.55%  	val_loss: 0.7566
Epoch 30/250 lr: 5.3589e-03 	| train_acc: 73.22%  	train_loss: 0.7542  	val_acc: 72.93%  	val_loss: 0.7742
Params 7.93% alive (1688058/21289802) parameters
Epoch 31/250 lr: 5.0000e-03 	| train_acc: 70.24%  	train_loss: 0.8443  	val_acc: 72.33%  	val_loss: 0.7945
