Files already downloaded and verified
Params 0.01% alive (2114/21289802) parameters
Epoch 1/250 lr: 0.01 	| train_acc: 12.29%  	train_loss: 2.2902  	val_acc: 11.03%  	val_loss: 2.2990
Epoch 2/250 lr: 0.01 	| train_acc: 11.60%  	train_loss: 2.2967  	val_acc: 12.88%  	val_loss: 2.2920
Params 0.10% alive (21099/21289802) parameters
Epoch 3/250 lr: 0.01 	| train_acc: 17.56%  	train_loss: 2.2242  	val_acc: 22.12%  	val_loss: 2.1508
Epoch 4/250 lr: 0.01 	| train_acc: 22.43%  	train_loss: 2.1279  	val_acc: 24.07%  	val_loss: 2.0863
Params 0.50% alive (105497/21289802) parameters
Epoch 5/250 lr: 0.01 	| train_acc: 32.06%  	train_loss: 1.8376  	val_acc: 43.58%  	val_loss: 1.5582
Epoch 6/250 lr: 0.01 	| train_acc: 43.23%  	train_loss: 1.5528  	val_acc: 48.06%  	val_loss: 1.4270
Epoch 7/250 lr: 0.01 	| train_acc: 47.19%  	train_loss: 1.4474  	val_acc: 50.33%  	val_loss: 1.3719
Params 0.99% alive (211009/21289802) parameters
Epoch 8/250 lr: 0.01 	| train_acc: 47.60%  	train_loss: 1.4489  	val_acc: 52.95%  	val_loss: 1.3009
Epoch 9/250 lr: 0.01 	| train_acc: 51.88%  	train_loss: 1.3361  	val_acc: 56.24%  	val_loss: 1.2140
Epoch 10/250 lr: 0.01 	| train_acc: 54.01%  	train_loss: 1.2761  	val_acc: 57.66%  	val_loss: 1.1789
Params 1.98% alive (422007/21289802) parameters
Epoch 11/250 lr: 0.01 	| train_acc: 52.23%  	train_loss: 1.3242  	val_acc: 57.27%  	val_loss: 1.1881
Epoch 12/250 lr: 0.01 	| train_acc: 57.02%  	train_loss: 1.2044  	val_acc: 58.94%  	val_loss: 1.1276
Epoch 13/250 lr: 0.01 	| train_acc: 58.79%  	train_loss: 1.1455  	val_acc: 61.81%  	val_loss: 1.0643
Epoch 14/250 lr: 0.01 	| train_acc: 60.46%  	train_loss: 1.1044  	val_acc: 62.34%  	val_loss: 1.0539
Epoch 15/250 lr: 0.01 	| train_acc: 61.68%  	train_loss: 1.0745  	val_acc: 63.09%  	val_loss: 1.0300
Epoch 16/250 lr: 0.01 	| train_acc: 62.62%  	train_loss: 1.0491  	val_acc: 64.65%  	val_loss: 0.9871
Epoch 17/250 lr: 0.01 	| train_acc: 63.66%  	train_loss: 1.0180  	val_acc: 66.39%  	val_loss: 0.9455
Epoch 18/250 lr: 0.01 	| train_acc: 64.49%  	train_loss: 0.9999  	val_acc: 66.63%  	val_loss: 0.9428
Epoch 19/250 lr: 0.01 	| train_acc: 65.05%  	train_loss: 0.9813  	val_acc: 67.00%  	val_loss: 0.9246
Epoch 20/250 lr: 0.01 	| train_acc: 65.92%  	train_loss: 0.9581  	val_acc: 67.28%  	val_loss: 0.9348
Params 3.96% alive (844031/21289802) parameters
Epoch 21/250 lr: 0.01 	| train_acc: 62.93%  	train_loss: 1.0366  	val_acc: 64.50%  	val_loss: 0.9793
Epoch 22/250 lr: 0.01 	| train_acc: 66.43%  	train_loss: 0.9474  	val_acc: 66.22%  	val_loss: 0.9534
Epoch 23/250 lr: 0.01 	| train_acc: 67.78%  	train_loss: 0.9026  	val_acc: 68.76%  	val_loss: 0.8837
Epoch 24/250 lr: 0.01 	| train_acc: 69.31%  	train_loss: 0.8697  	val_acc: 71.11%  	val_loss: 0.8303
Epoch 25/250 lr: 0.01 	| train_acc: 70.17%  	train_loss: 0.8458  	val_acc: 68.86%  	val_loss: 0.8862
Epoch 26/250 lr: 0.01 	| train_acc: 71.05%  	train_loss: 0.8230  	val_acc: 73.04%  	val_loss: 0.7779
Epoch 27/250 lr: 0.01 	| train_acc: 71.42%  	train_loss: 0.8062  	val_acc: 71.20%  	val_loss: 0.8131
Epoch 28/250 lr: 0.01 	| train_acc: 72.12%  	train_loss: 0.7861  	val_acc: 71.46%  	val_loss: 0.8198
Epoch 29/250 lr: 0.01 	| train_acc: 72.96%  	train_loss: 0.7707  	val_acc: 72.60%  	val_loss: 0.7880
Epoch 30/250 lr: 0.01 	| train_acc: 73.09%  	train_loss: 0.7648  	val_acc: 73.25%  	val_loss: 0.7709
Params 7.93% alive (1688058/21289802) parameters
Epoch 31/250 lr: 0.005 	| train_acc: 73.76%  	train_loss: 0.7499  	val_acc: 75.86%  	val_loss: 0.7016
Epoch 32/250 lr: 0.005 	| train_acc: 75.45%  	train_loss: 0.7038  	val_acc: 75.36%  	val_loss: 0.7125
Epoch 33/250 lr: 0.005 	| train_acc: 76.15%  	train_loss: 0.6796  	val_acc: 76.54%  	val_loss: 0.6857
Epoch 34/250 lr: 0.005 	| train_acc: 76.72%  	train_loss: 0.6622  	val_acc: 75.07%  	val_loss: 0.7098
Epoch 35/250 lr: 0.005 	| train_acc: 77.40%  	train_loss: 0.6448  	val_acc: 76.60%  	val_loss: 0.6757
Epoch 36/250 lr: 0.005 	| train_acc: 77.75%  	train_loss: 0.6314  	val_acc: 78.03%  	val_loss: 0.6409
Epoch 37/250 lr: 0.005 	| train_acc: 78.49%  	train_loss: 0.6193  	val_acc: 77.06%  	val_loss: 0.6639
Epoch 38/250 lr: 0.005 	| train_acc: 78.56%  	train_loss: 0.6102  	val_acc: 77.57%  	val_loss: 0.6421
Epoch 39/250 lr: 0.005 	| train_acc: 78.90%  	train_loss: 0.6030  	val_acc: 77.07%  	val_loss: 0.6696
Epoch 40/250 lr: 0.005 	| train_acc: 79.10%  	train_loss: 0.5953  	val_acc: 78.55%  	val_loss: 0.6259
Params 15.86% alive (3376116/21289802) parameters
Epoch 41/250 lr: 0.005 	| train_acc: 76.58%  	train_loss: 0.6740  	val_acc: 76.25%  	val_loss: 0.6958
Epoch 42/250 lr: 0.005 	| train_acc: 77.93%  	train_loss: 0.6270  	val_acc: 76.89%  	val_loss: 0.6723
Epoch 43/250 lr: 0.005 	| train_acc: 79.05%  	train_loss: 0.5974  	val_acc: 78.41%  	val_loss: 0.6250
Epoch 44/250 lr: 0.005 	| train_acc: 79.19%  	train_loss: 0.5861  	val_acc: 78.31%  	val_loss: 0.6256
Epoch 45/250 lr: 0.005 	| train_acc: 80.13%  	train_loss: 0.5666  	val_acc: 77.81%  	val_loss: 0.6306
Epoch 46/250 lr: 0.005 	| train_acc: 80.42%  	train_loss: 0.5565  	val_acc: 80.11%  	val_loss: 0.5894
Epoch 47/250 lr: 0.005 	| train_acc: 81.01%  	train_loss: 0.5401  	val_acc: 80.24%  	val_loss: 0.5800
Epoch 48/250 lr: 0.005 	| train_acc: 81.28%  	train_loss: 0.5337  	val_acc: 79.72%  	val_loss: 0.5865
Epoch 49/250 lr: 0.005 	| train_acc: 81.73%  	train_loss: 0.5190  	val_acc: 77.70%  	val_loss: 0.6378
Epoch 50/250 lr: 0.005 	| train_acc: 81.98%  	train_loss: 0.5139  	val_acc: 79.48%  	val_loss: 0.6043
Params 31.72% alive (6752238/21289802) parameters
Epoch 51/250 lr: 0.005 	| train_acc: 79.09%  	train_loss: 0.5949  	val_acc: 76.91%  	val_loss: 0.6685
Epoch 52/250 lr: 0.005 	| train_acc: 80.59%  	train_loss: 0.5548  	val_acc: 77.95%  	val_loss: 0.6414
Epoch 53/250 lr: 0.005 	| train_acc: 81.17%  	train_loss: 0.5390  	val_acc: 80.00%  	val_loss: 0.5854
Epoch 54/250 lr: 0.005 	| train_acc: 81.94%  	train_loss: 0.5130  	val_acc: 80.77%  	val_loss: 0.5701
Epoch 55/250 lr: 0.005 	| train_acc: 82.53%  	train_loss: 0.4995  	val_acc: 80.08%  	val_loss: 0.5905
Epoch 56/250 lr: 0.005 	| train_acc: 82.73%  	train_loss: 0.4949  	val_acc: 80.66%  	val_loss: 0.5694
Epoch 57/250 lr: 0.005 	| train_acc: 83.35%  	train_loss: 0.4719  	val_acc: 81.50%  	val_loss: 0.5607
Epoch 58/250 lr: 0.005 	| train_acc: 83.87%  	train_loss: 0.4612  	val_acc: 81.47%  	val_loss: 0.5488
Epoch 59/250 lr: 0.005 	| train_acc: 84.21%  	train_loss: 0.4497  	val_acc: 81.77%  	val_loss: 0.5400
Epoch 60/250 lr: 0.005 	| train_acc: 84.26%  	train_loss: 0.4454  	val_acc: 80.88%  	val_loss: 0.5674
Epoch 61/250 lr: 0.0025 	| train_acc: 87.02%  	train_loss: 0.3683  	val_acc: 83.51%  	val_loss: 0.4945
Epoch 62/250 lr: 0.0025 	| train_acc: 87.85%  	train_loss: 0.3474  	val_acc: 83.02%  	val_loss: 0.5093
Epoch 63/250 lr: 0.0025 	| train_acc: 88.02%  	train_loss: 0.3408  	val_acc: 83.81%  	val_loss: 0.4879
Epoch 64/250 lr: 0.0025 	| train_acc: 88.21%  	train_loss: 0.3304  	val_acc: 84.58%  	val_loss: 0.4762
Epoch 65/250 lr: 0.0025 	| train_acc: 88.66%  	train_loss: 0.3248  	val_acc: 84.22%  	val_loss: 0.4846
Epoch 66/250 lr: 0.0025 	| train_acc: 88.66%  	train_loss: 0.3197  	val_acc: 83.77%  	val_loss: 0.4912
Epoch 67/250 lr: 0.0025 	| train_acc: 88.97%  	train_loss: 0.3149  	val_acc: 83.39%  	val_loss: 0.5068
Epoch 68/250 lr: 0.0025 	| train_acc: 88.99%  	train_loss: 0.3130  	val_acc: 83.81%  	val_loss: 0.5079
Epoch 69/250 lr: 0.0025 	| train_acc: 88.98%  	train_loss: 0.3108  	val_acc: 83.49%  	val_loss: 0.5111
Epoch 70/250 lr: 0.0025 	| train_acc: 89.28%  	train_loss: 0.3046  	val_acc: 83.41%  	val_loss: 0.5215
Epoch 71/250 lr: 0.0025 	| train_acc: 89.18%  	train_loss: 0.3030  	val_acc: 83.35%  	val_loss: 0.5155
Epoch 72/250 lr: 0.0025 	| train_acc: 89.75%  	train_loss: 0.2888  	val_acc: 84.15%  	val_loss: 0.5082
Epoch 73/250 lr: 0.0025 	| train_acc: 89.59%  	train_loss: 0.2920  	val_acc: 83.04%  	val_loss: 0.5464
Epoch 74/250 lr: 0.0025 	| train_acc: 89.42%  	train_loss: 0.2941  	val_acc: 83.96%  	val_loss: 0.5200
Epoch 75/250 lr: 0.0025 	| train_acc: 89.79%  	train_loss: 0.2861  	val_acc: 84.27%  	val_loss: 0.4909
Epoch 76/250 lr: 0.0025 	| train_acc: 89.92%  	train_loss: 0.2837  	val_acc: 83.35%  	val_loss: 0.5215
Epoch 77/250 lr: 0.0025 	| train_acc: 90.35%  	train_loss: 0.2756  	val_acc: 83.81%  	val_loss: 0.5121
Epoch 78/250 lr: 0.0025 	| train_acc: 90.40%  	train_loss: 0.2720  	val_acc: 84.47%  	val_loss: 0.5034
Epoch 79/250 lr: 0.0025 	| train_acc: 90.37%  	train_loss: 0.2711  	val_acc: 83.90%  	val_loss: 0.5311
Epoch 80/250 lr: 0.0025 	| train_acc: 90.24%  	train_loss: 0.2727  	val_acc: 84.90%  	val_loss: 0.4863
Epoch 81/250 lr: 0.0025 	| train_acc: 90.54%  	train_loss: 0.2671  	val_acc: 83.77%  	val_loss: 0.5338
Epoch 82/250 lr: 0.0025 	| train_acc: 90.38%  	train_loss: 0.2710  	val_acc: 84.04%  	val_loss: 0.5173
Epoch 83/250 lr: 0.0025 	| train_acc: 90.79%  	train_loss: 0.2617  	val_acc: 84.00%  	val_loss: 0.5186
Epoch 84/250 lr: 0.0025 	| train_acc: 90.72%  	train_loss: 0.2615  	val_acc: 83.10%  	val_loss: 0.5477
Epoch 85/250 lr: 0.0025 	| train_acc: 90.63%  	train_loss: 0.2618  	val_acc: 84.66%  	val_loss: 0.5102
Epoch 86/250 lr: 0.0025 	| train_acc: 91.07%  	train_loss: 0.2542  	val_acc: 83.91%  	val_loss: 0.5335
Epoch 87/250 lr: 0.0025 	| train_acc: 90.94%  	train_loss: 0.2547  	val_acc: 84.45%  	val_loss: 0.5002
Epoch 88/250 lr: 0.0025 	| train_acc: 91.11%  	train_loss: 0.2517  	val_acc: 83.91%  	val_loss: 0.5261
Epoch 89/250 lr: 0.0025 	| train_acc: 91.47%  	train_loss: 0.2408  	val_acc: 83.47%  	val_loss: 0.5383
Epoch 90/250 lr: 0.0025 	| train_acc: 91.01%  	train_loss: 0.2489  	val_acc: 83.39%  	val_loss: 0.5276
Epoch 91/250 lr: 0.00125 	| train_acc: 93.32%  	train_loss: 0.1895  	val_acc: 85.05%  	val_loss: 0.4944
Epoch 92/250 lr: 0.00125 	| train_acc: 94.04%  	train_loss: 0.1689  	val_acc: 85.78%  	val_loss: 0.4962
Epoch 93/250 lr: 0.00125 	| train_acc: 94.28%  	train_loss: 0.1636  	val_acc: 85.31%  	val_loss: 0.5045
Epoch 94/250 lr: 0.00125 	| train_acc: 94.25%  	train_loss: 0.1625  	val_acc: 85.33%  	val_loss: 0.5099
Epoch 95/250 lr: 0.00125 	| train_acc: 94.66%  	train_loss: 0.1541  	val_acc: 85.40%  	val_loss: 0.5103
Epoch 96/250 lr: 0.00125 	| train_acc: 94.60%  	train_loss: 0.1528  	val_acc: 85.58%  	val_loss: 0.5055
Epoch 97/250 lr: 0.00125 	| train_acc: 94.61%  	train_loss: 0.1543  	val_acc: 85.68%  	val_loss: 0.5163
Epoch 98/250 lr: 0.00125 	| train_acc: 94.97%  	train_loss: 0.1455  	val_acc: 85.27%  	val_loss: 0.5290
Epoch 99/250 lr: 0.00125 	| train_acc: 94.90%  	train_loss: 0.1444  	val_acc: 85.15%  	val_loss: 0.5325
Epoch 100/250 lr: 0.00125 	| train_acc: 94.95%  	train_loss: 0.1429  	val_acc: 85.34%  	val_loss: 0.5293
Params 63.43% alive (13504467/21289802) parameters
Epoch 101/250 lr: 0.00125 	| train_acc: 92.74%  	train_loss: 0.2034  	val_acc: 83.61%  	val_loss: 0.5844
